RULE 1: IF Pregnancies <= 6 AND Glucose <= 111 THEN target in {False}, COVERING: 0.487500(wo cond. 1: 0.052500; wo cond. 2: 0.377500), ERROR: 0.098131(wo cond. 1: 0.070093; wo cond. 2: 0.546729)
RULE 2: IF BMI <= 27.850000 THEN target in {False}, COVERING: 0.380000(wo cond. 1: 0.620000), ERROR: 0.088785(wo cond. 1: 0.911215)
RULE 3: IF Glucose <= 161 AND DiabetesPedigreeFunction <= 0.219500 THEN target in {False}, COVERING: 0.252500(wo cond. 1: 0.005000; wo cond. 2: 0.712500), ERROR: 0.070093(wo cond. 1: 0.042056; wo cond. 2: 0.635514)
RULE 4: IF 109 < Glucose <= 154 AND BMI > 25.700000 AND DiabetesPedigreeFunction <= 0.932500 AND Age <= 28 THEN target in {False}, COVERING: 0.182500(wo cond. 1: 0.232500; wo cond. 2: 0.047500; wo cond. 3: 0.007500; wo cond. 4: 0.155000), ERROR: 0.098131(wo cond. 1: 0.102804; wo cond. 2: 0.004673; wo cond. 3: 0.018692; wo cond. 4: 0.303738)
RULE 5: IF Pregnancies > 2 AND Glucose <= 127 AND BMI > 31.150000 AND DiabetesPedigreeFunction <= 0.904500 THEN target in {False}, COVERING: 0.165000(wo cond. 1: 0.170000; wo cond. 2: 0.057500; wo cond. 3: 0.162500; wo cond. 4: 0.000000), ERROR: 0.098131(wo cond. 1: 0.093458; wo cond. 2: 0.294393; wo cond. 3: 0.084112; wo cond. 4: 0.028037)
RULE 6: IF Pregnancies <= 7 AND BloodPressure > 60 AND Insulin > 191 THEN target in {False}, COVERING: 0.085000(wo cond. 1: 0.002500; wo cond. 2: 0.015000; wo cond. 3: 0.627500), ERROR: 0.093458(wo cond. 1: 0.056075; wo cond. 2: 0.023364; wo cond. 3: 0.574766)
RULE 7: IF 116 < Glucose <= 194 AND Insulin <= 159 AND BMI <= 34.450000 AND DiabetesPedigreeFunction > 0.270500 AND Age <= 44 THEN target in {False}, COVERING: 0.085000(wo cond. 1: 0.252500; wo cond. 2: 0.035000; wo cond. 3: 0.042500; wo cond. 4: 0.062500; wo cond. 5: 0.030000), ERROR: 0.098131(wo cond. 1: 0.088785; wo cond. 2: 0.060748; wo cond. 3: 0.182243; wo cond. 4: 0.051402; wo cond. 5: 0.056075)
RULE 8: IF 130 < Glucose <= 189 AND BloodPressure > 81 AND Insulin <= 155 AND Age > 35 THEN target in {False}, COVERING: 0.042500(wo cond. 1: 0.030000; wo cond. 2: 0.042500; wo cond. 3: 0.000000; wo cond. 4: 0.017500), ERROR: 0.098131(wo cond. 1: 0.046729; wo cond. 2: 0.102804; wo cond. 3: 0.051402; wo cond. 4: 0.032710)
RULE 9: IF 38.450000 < BMI <= 38.650000 THEN target in {False}, COVERING: 0.010000(wo cond. 1: 0.990000), ERROR: 0.014019(wo cond. 1: 0.985981)
RULE 10: IF Glucose > 143 AND BMI > 22.000000 THEN target in {True}, COVERING: 0.467290(wo cond. 1: 0.532710; wo cond. 2: 0.000000), ERROR: 0.100000(wo cond. 1: 0.827500; wo cond. 2: 0.005000)
RULE 11: IF 94 < Glucose <= 143 AND 15 < SkinThickness <= 53 AND Insulin > 22 AND BMI > 27.350000 AND DiabetesPedigreeFunction > 0.126500 AND 30 < Age <= 62 THEN target in {True}, COVERING: 0.299065(wo cond. 1: 0.275701; wo cond. 2: 0.000000; wo cond. 3: 0.000000; wo cond. 4: 0.004673; wo cond. 5: 0.004673; wo cond. 6: 0.177570), ERROR: 0.100000(wo cond. 1: 0.085000; wo cond. 2: 0.007500; wo cond. 3: 0.002500; wo cond. 4: 0.062500; wo cond. 5: 0.010000; wo cond. 6: 0.270000)
RULE 12: IF SkinThickness > 18 AND BMI > 28.950000 AND DiabetesPedigreeFunction > 0.501500 AND Age <= 33 THEN target in {True}, COVERING: 0.242991(wo cond. 1: 0.004673; wo cond. 2: 0.009346; wo cond. 3: 0.158879; wo cond. 4: 0.168224), ERROR: 0.090000(wo cond. 1: 0.017500; wo cond. 2: 0.052500; wo cond. 3: 0.272500; wo cond. 4: 0.045000)
RULE 13: IF Pregnancies <= 10 AND 111 < Glucose <= 142 AND 121 < Insulin <= 267 AND BMI > 23.550000 AND 0.116500 < DiabetesPedigreeFunction <= 0.451500 AND 21 < Age <= 62 THEN target in {True}, COVERING: 0.163551(wo cond. 1: 0.004673; wo cond. 2: 0.214953; wo cond. 3: 0.023364; wo cond. 4: 0.000000; wo cond. 5: 0.116822; wo cond. 6: 0.000000), ERROR: 0.100000(wo cond. 1: 0.010000; wo cond. 2: 0.177500; wo cond. 3: 0.045000; wo cond. 4: 0.012500; wo cond. 5: 0.077500; wo cond. 6: 0.025000)
RULE 14: IF Pregnancies > 6 AND 61 < Glucose <= 114 THEN target in {True}, COVERING: 0.088785(wo cond. 1: 0.112150; wo cond. 2: 0.266355), ERROR: 0.055000(wo cond. 1: 0.527500; wo cond. 2: 0.080000)
RULE 15: IF Insulin <= 123 AND 22 < Age <= 24 THEN target in {True}, COVERING: 0.018692(wo cond. 1: 0.032710; wo cond. 2: 0.088785), ERROR: 0.055000(wo cond. 1: 0.090000; wo cond. 2: 0.272500)
